"Ubigeo","Provincia","Region","Organización Política","Electores","Votos","% Votos","total_electores_mujeres","porcentaje_mujeres","total_electores_jovenes","porcentaje_jovenes","IDH","% Pobreza Extrema","PE_Hab"
10100,"CHACHAPOYAS","AMAZONAS","PARTIDO POLITICO NACIONAL PERU LIBRE",40752,15671,0.5994,20626,50.9258802034467,12011,29.6553256629302,0.542665288299619,11.6985240440371,6875.5735364019
10200,"BAGUA","AMAZONAS","PARTIDO POLITICO NACIONAL PERU LIBRE",62110,25980,0.7069,29877,48.0824629447833,22586,36.3487133270032,0.461036224246138,23.0681401784616,22632.1523290887
10300,"BONGARA","AMAZONAS","PARTIDO POLITICO NACIONAL PERU LIBRE",20917,8374,0.6165,10271,49.1223874886413,6485,31.0153522406619,0.4128954525726,10.7402463151978,3150.65125656327
10500,"LUYA","AMAZONAS","PARTIDO POLITICO NACIONAL PERU LIBRE",35017,12606,0.6166,16951,48.0934006695795,11101,31.495772569937,0.341050239505418,24.9978835615903,12705.6742778495
10600,"RODRIGUEZ DE MENDOZA","AMAZONAS","PARTIDO POLITICO NACIONAL PERU LIBRE",22886,7967,0.592,10614,46.3311362346676,6615,28.875114583788,0.366407435251007,13.3277167732224,4443.59404936008
10400,"CONDORCANQUI","AMAZONAS","PARTIDO POLITICO NACIONAL PERU LIBRE",38273,14024,0.9065,18099,47.289211715831,18214,47.5896846340762,0.2534515691766,38.1406293433147,28944.1607960546
10700,"UTCUBAMBA","AMAZONAS","PARTIDO POLITICO NACIONAL PERU LIBRE",86231,36540,0.6553,41245,47.8424776708039,28976,33.6109500057998,0.470118925777447,12.1968377137765,15455.7107825205
20100,"HUARAZ","ANCASH","PARTIDO POLITICO NACIONAL PERU LIBRE",129360,58628,0.6385,64692,50.5248359887535,37630,29.3892533583255,0.562543270468146,3.12243586478401,5699.94422244592
20200,"AIJA","ANCASH","PARTIDO POLITICO NACIONAL PERU LIBRE",5817,2325,0.622,2958,49.2589508742714,1675,27.8934221482098,0.369278952096014,12.8199311027335,1028.41487306128
20500,"BOLOGNESI","ANCASH","PARTIDO POLITICO NACIONAL PERU LIBRE",18779,7690,0.6582,9260,49.0206458443621,5309,28.1048173636845,0.453107932719228,4.79288210439709,1218.3027021167
20600,"CARHUAZ","ANCASH","PARTIDO POLITICO NACIONAL PERU LIBRE",38672,18781,0.6862,20115,51.9646593815392,11755,30.3676147665917,0.408914652227987,10.867996616394,5790.03387735007
20800,"CASMA","ANCASH","PARTIDO POLITICO NACIONAL PERU LIBRE",37445,11328,0.4215,18445,49.3723065392543,11035,29.5377285259241,0.557300920754885,2.94831331397711,1584.04029420048
20900,"CORONGO","ANCASH","PARTIDO POLITICO NACIONAL PERU LIBRE",5688,2174,0.5982,2736,48.1181850158284,1555,27.3478719662329,0.388256123584986,8.03960766637867,629.420884200786
21200,"HUAYLAS","ANCASH","PARTIDO POLITICO NACIONAL PERU LIBRE",42646,13625,0.4853,21530,50.4227265275533,14200,33.2560481510106,0.405559625805934,17.6249362971907,10821.1821383862
21000,"HUARI","ANCASH","PARTIDO POLITICO NACIONAL PERU LIBRE",56793,27357,0.8025,28572,49.7900148122332,17962,31.3008625947547,0.424135442845821,7.87292309799095,6268.97247523725
21300,"MARISCAL LUZURIAGA","ANCASH","PARTIDO POLITICO NACIONAL PERU LIBRE",16100,8383,0.8374,8319,51.4439428606765,5352,33.09628347041,0.276132981732583,16.7370305340092,3977.72267671262
21500,"PALLASCA","ANCASH","PARTIDO POLITICO NACIONAL PERU LIBRE",17769,7451,0.7301,9012,50.2929850996149,5509,30.7439031195937,0.327174294684724,11.8680851689035,3148.12827190335
21600,"POMABAMBA","ANCASH","PARTIDO POLITICO NACIONAL PERU LIBRE",18893,9061,0.7819,9912,52.3890063424947,6206,32.8012684989429,0.341970981075689,16.7920904458728,4775.33468099731
21700,"RECUAY","ANCASH","PARTIDO POLITICO NACIONAL PERU LIBRE",16039,7790,0.7329,8249,50.8287633249122,3953,24.3576314005792,0.426784731367209,11.6956710511402,2494.33576507667
21800,"SANTA","ANCASH","PARTIDO POLITICO NACIONAL PERU LIBRE",356727,119916,0.4886,179470,50.3549283128981,100826,28.2893297045537,0.615220775075721,1.0897868934798,5401.41975884326
21900,"SIHUAS","ANCASH","PARTIDO POLITICO NACIONAL PERU LIBRE",21668,9602,0.7363,11091,50.9439162188232,7126,32.7316154517477,0.314323545628663,8.69098831793505,2804.755749964
22000,"YUNGAY","ANCASH","PARTIDO POLITICO NACIONAL PERU LIBRE",43850,19705,0.6795,22199,50.530365109715,14570,33.1648911954839,0.335807832904921,12.1043891484453,7460.1771199698
20300,"ANTONIO RAIMONDI","ANCASH","PARTIDO POLITICO NACIONAL PERU LIBRE",10921,5056,0.8652,5476,49.8135176930774,3512,31.9476030201037,0.316336893364822,21.3166480902413,3417.69818830839
